inst_name_en,inst_name_ja,coordinates,"city lang=""en""","street lang=""en""","city lang=""ja""","street lang=""ja"""
SGU Campus1,札幌学院大学第一キャンパス,"41.7872573000,140.8198380000","Hakodate-shi,Hokkaido","327, Kamiyunokawacho",北海道 江別市,文京台11
SGU Campus2,札幌学院大学第二キャンパス,"41.7968697000,140.7568064000","Hakodate-shi,Hokkaido","44-3, Goryokakucho",北海道 江別市,文京台12
